Title,Uri,,
Blazor – Processtune Blog,./category/asp-net-core/blazor/index.html,Blazor ,"{""title"":""Blazor""},"
JavaScript – Processtune Blog,./category/asp-net-core/javascript/index.html,JavaScript ,"{""title"":""JavaScript""},"
Service – Processtune Blog,./category/asp-net-core/service/index.html,Service ,"{""title"":""Service""},"
Alpine Linux – Processtune Blog,./category/docker/alpine-linux/index.html,Alpine Linux ,"{""title"":""Alpine Linux""},"
Azure Active Directory – Processtune Blog,./category/microsoft-azure/azure-active-directory/index.html,Azure Active Directory ,"{""title"":""Azure Active Directory""},"
Azure Functions – Processtune Blog,./category/microsoft-azure/azure-functions/index.html,Azure Functions ,"{""title"":""Azure Functions""},"
Cognitive Service – Processtune Blog,./category/microsoft-azure/cognitive-service/index.html,Cognitive Service ,"{""title"":""Cognitive Service""},"
gRPC – Processtune Blog,./category/microsoft-azure/grpc/index.html,gRPC ,"{""title"":""gRPC""},"
Rust – Processtune Blog,./category/microsoft-azure/rust/index.html,Rust ,"{""title"":""Rust""},"
Static web Apps – Processtune Blog,./category/microsoft-azure/static-web-apps/index.html,Static web Apps ,"{""title"":""Static web Apps""},"
Reverce Proxy – Processtune Blog,./category/nginx/reverce-proxy/index.html,Reverce Proxy ,"{""title"":""Reverce Proxy""},"
Adaptive Cards – Processtune Blog,./category/office-app/adaptive-cards/index.html,Adaptive Cards ,"{""title"":""Adaptive Cards""},"
Office Business App – Processtune Blog,./category/office-app/office-business-app/index.html,Office Business App ,"{""title"":""Office Business App""},"
Office Web App – Processtune Blog,./category/office-app/office-web-app/index.html,Office Web App ,"{""title"":""Office Web App""},"
ReactJS.NET – Processtune Blog,./category/office-app/reactjs-net/index.html,ReactJS.NET ,"{""title"":""ReactJS.NET""},"
Active Directory – Processtune Blog,./category/technical-memo/active-directory/index.html,Active Directory ,"{""title"":""Active Directory""},"
ALM – Processtune Blog,./category/technical-memo/alm/index.html,ALM ,"{""title"":""ALM""},"
Browser – Processtune Blog,./category/technical-memo/browser/index.html,Browser ,"{""title"":""Browser""},"
CSS – Processtune Blog,./category/technical-memo/css/index.html,CSS ,"{""title"":""CSS""},"
HTML – Processtune Blog,./category/technical-memo/html/index.html,HTML ,"{""title"":""HTML""},"
kiosk mode – Processtune Blog,./category/technical-memo/kiosk-mode/index.html,kiosk mode ,"{""title"":""kiosk mode""},"
Markdown – Processtune Blog,./category/technical-memo/markdown/index.html,Markdown ,"{""title"":""Markdown""},"
Silverlight – Processtune Blog,./category/technical-memo/silverlight/index.html,Silverlight ,"{""title"":""Silverlight""},"
Visual Studio Code – Processtune Blog,./category/visual-studio/visual-studio-code/index.html,Visual Studio Code ,"{""title"":""Visual Studio Code""},"
.NET Core – Processtune Blog,./category/winui/net-core/index.html,.NET Core ,"{""title"":"".NET Core""},"
Universal Apps – Processtune Blog,./category/winui/universal-apps/index.html,Universal Apps ,"{""title"":""Universal Apps""},"
WPF App – Processtune Blog,./category/winui/wpf-app/index.html,WPF App ,"{""title"":""WPF App""},"
Ubuntu – Processtune Blog,./category/wsl2/ubuntu/index.html,Ubuntu ,"{""title"":""Ubuntu""},"
vim – Processtune Blog,./category/wsl2/vim/index.html,vim ,"{""title"":""vim""},"
,,,
Global Summit　Movies – Processtune Blog,./2011/04/01/hello-world-2/index.html,,
Mix 11 – Processtune Blog,./2011/04/02/mix-11/index.html,,
双方向通信 – Processtune Blog,./2011/04/06/%E8%9C%BF%E6%A2%A7%E5%A9%BF%E8%9C%B7%E9%B7%B9%25C2%2580%E5%A3%BB%EF%BD%BF%EF%BD%A1/index.html,,
Integrating OWA( Office Web App) to business solution. – Processtune Blog,./2013/01/26/integrating-owa-office-web-app-to-business-solution/index.html,,
Play to feature will simplify Multi device fabrication – Processtune Blog,./2013/03/30/play-to-scenarios-make-multi-device-technology-simplify/index.html,,
Designing Object Model for Metro Style Application – Processtune Blog,./2013/04/08/designing-object-model-for-metro-style-application/index.html,,
Portable class Libraries with designing object models – Processtune Blog,./2013/04/08/portable-class-libraries-with-designing-object-models/index.html,,
Designed models for Windows Store Apps – Processtune Blog,./2013/05/08/designed-models-for-windows-store-apps/index.html,,
Windows 8 animation architecture – Processtune Blog,./2013/05/11/windows-8-animation-architecture/index.html,,
Windows Store アプリのための情報アーキテクチャ – Processtune Blog,./2013/06/07/information-architecture-for-windows-store-app/index.html,,
Windows Azure Mobile Service authentication – Processtune Blog,./2013/07/01/windows-azure-mobile-service-authentication/index.html,,
Resource of Store App for globalization – Processtune Blog,./2013/07/08/resource-of-store-app-for-globalization/index.html,,
WPF app that display Excel file. – Processtune Blog,./2013/08/26/wpf-app-that-display-excel-file-2/index.html,,
View the processing status of the Windows Runtime Component to Windows Store app – Processtune Blog,./2014/01/20/view-the-processing-status-of-the-windows-runtime-component-to-windows-store-app/index.html,,
Using Office 365 authentication in Windows 8 store apps – Processtune Blog,./2014/04/09/using-office-365-authentication-in-windows-8-store-apps/index.html,,
Information architecture for Windows Store app – Processtune Blog,./2014/06/08/information-architecture-for-windows-store-app-2/index.html,,
タイルとバッジのライフサイクル設計編 – Processtune Blog,./2015/02/02/%E7%B9%A7%EF%BD%BF%E7%B9%A7%EF%BD%A4%E7%B9%9D%EF%BD%AB%E7%B8%BA%EF%BD%A8%E7%B9%9D%E8%88%8C%E3%83%A3%E7%B9%A7%EF%BD%B8%E7%B8%BA%EF%BD%AE%E7%B9%9D%EF%BD%A9%E7%B9%A7%EF%BD%A4%E7%B9%9D%E8%BC%94%E3%81%97%E7%B9%A7%EF%BD%A4%E7%B9%A7%EF%BD%AF%E7%B9%9D%EF%BD%AB%E9%9A%AA%EF%BD%AD%E9%9A%AA%E8%82%B2%EF%BD%B7%EF%BD%A8/index.html,,
MVVM: Create some processings if these should execute before adding to a list items. – Processtune Blog,./2015/05/10/mvvm-create-some-processings-if-these-should-execute-before-adding-to-a-list-items/index.html,,
MVVM : Creating Reusable Flyout Control Composite – Processtune Blog,./2015/05/23/mvvm-creating-reusable-flyout-control-composite/index.html,,
The microservice design pattern – Processtune Blog,./2016/04/08/microservice-design-pattern/index.html,,
Some patterns of state transferring of system – Processtune Blog,./2016/05/10/some-patterns-of-transferring-state-of-system/index.html,,
"A concept of the actor model, for a distributed system – Processtune Blog",./2016/07/11/2161/index.html,,
The Virtual Actor is the Actor model for cloud ready – Processtune Blog,./2016/08/13/the-virtual-actor-is-the-actor-model-for-cloud-ready/index.html,,
Microsoft Azure provides the Virtual Actor as Service Fabric Reliable Actor – Processtune Blog,./2016/09/02/microsoft-azure-provides-the-virtual-actor-as-service-fabric-reliable-actor/index.html,,
Create state full service web app – Processtune Blog,./2017/01/12/create-state-full-service-web-app/index.html,,
Incorporate the Realiable Actor service to web app solution – Processtune Blog,./2017/02/12/incorporate-the-realiable-actor-service-to-web-app-solution/index.html,,
Tips for using Service Fabric SDK #1 – Processtune Blog,./2017/03/01/tips-for-using-service-fabric-sdk/index.html,,
Tips for using Service Fabric SDK #2 – Processtune Blog,./2017/03/10/tips-for-using-service-fabric-sdk-2/index.html,,
Invoke Reliable Actor from stateless Web API – Processtune Blog,./2017/03/13/invoke-reliable-actor-from-stateless-web-api/index.html,,
"The microservices basis, Provide it from Microsoft Azure Service Fabric – Processtune Blog",./2017/03/13/the-microservices-basis-provide-it-from-microsoft-azure-service-fabric/index.html,,
Microsoft UWP samples helps you to create your app – Processtune Blog,./2017/07/25/microsoft-uwp-samples-helps-you-to-create-your-app/index.html,,
x:Bind Binding – Processtune Blog,./2017/07/25/xbind-binding/index.html,,
System launcher – Processtune Blog,./2017/08/01/system-launcher/index.html,,
Split view – Processtune Blog,./2017/08/08/split-view/index.html,,
Hamburger menu – Processtune Blog,./2017/08/15/hamburger-menu/index.html,,
FlipView – Processtune Blog,./2017/08/22/flipview/index.html,,
OAuth login – Processtune Blog,./2017/08/29/oauth-login/index.html,,
Bitmap image – Processtune Blog,./2017/09/06/bitmap-image/index.html,,
Control Facebook scope – Processtune Blog,./2017/09/13/control-facebook-scope/index.html,,
Intelligent cloud with Microsoft Graph. – Processtune Blog,./2017/09/20/intelligent-cloud-with-microsoft-graph/index.html,,
Scope control of the Microsoft Graph. – Processtune Blog,./2017/09/27/scope-control-of-the-microsoft-graph/index.html,,
How to use the QnA Manker API well. – Processtune Blog,./2017/11/02/how-to-use-the-qna-manker-api-well/index.html,,
How to create the QnA Manker My service. – Processtune Blog,./2017/11/09/how-to-create-the-qna-manker-my-service/index.html,,
kiosk mode operation design 1 – Processtune Blog,./2018/05/26/kiosk-mode-operation-design-1/index.html,,
kiosk mode operation design 2 – Processtune Blog,./2018/06/30/kiosk-mode-operation-design-2/index.html,,
Logging file save to Microsoft Azure part 1 – Processtune Blog,./2018/07/28/logging-file-save-to-microsoft-azure-part-1/index.html,,
Local account creation – Processtune Blog,./2018/08/31/local-account-creation/index.html,,
Desktop UI controlling – Processtune Blog,./2018/10/27/desktop-ui-controlling/index.html,,
Logging file save to Microsoft Azure part 2 – Processtune Blog,./2019/03/28/logging-file-save-to-microsoft-azure-part-2/index.html,,
Launch correct app by specific account – Processtune Blog,./2019/03/29/launch-correct-app-by-specific-account/index.html,,
Cognitive Services QnA Maker – Create knowledge base from online FAQ – Processtune Blog,./2019/04/30/cognitive-services-qna-maker-create-knowledge-base-from-online-faq/index.html,,
Cognitive Services QnA Maker – Make embed code for Bot Client App – Processtune Blog,./2019/06/30/cognitive-services-qna-maker-make-embed-code-for-bot-client-app/index.html,,
Cognitive Services QnA Maker – Create Bot Client App – Processtune Blog,./2019/07/30/cognitive-services-qna-maker-create-bot-client-app/index.html,,
Create Azure Active Directory application – Processtune Blog,./2019/08/31/create-azure-active-directory-application/index.html,,
How to set attributes of Azure Active Directory application for impersonated users – Processtune Blog,./2019/09/30/how-to-set-attributes-of-azure-active-directory-application-for-impersonated-users/index.html,,
