Title,Categories,BodyText,Uri,FullPath,len
双方向通信 – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,Silverlight,SlideShow,Visual Studio","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%双方向通信%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2011/04/06/）%改行%ThinkITの記事を書きました。%改行%リンク（http://thinkit.co.jp/book/2011/03/01/2023）%改行%Categories:%改行%リンク（https://blog.processtune.com/category/technical-memo/silverlight/）リンク（https://blog.processtune.com/category/slide-show/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2011/04/06/boot-camps%e3%81%ab%e5%8f%82%e5%8a%a0%e3%81%97%e3%81%be%e3%81%99/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2011/04/09/silverlight%e3%82%92%e5%9b%b2%e3%82%80%e4%bc%9a%e3%81%ae%e8%b3%87%e6%96%99%e3%81%a7%e3%81%99%e3%80%82/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2011/04/06/%E5%8F%8C%E6%96%B9%E5%90%91%E9%80%9A%E4%BF%A1/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2011/04/06/%E8%9C%BF%E6%A2%A7%E5%A9%BF%E8%9C%B7%E9%B7%B9%25C2%2580%E5%A3%BB%EF%BD%BF%EF%BD%A1/index.html,E:\repos\Processtune-web\www\2011\04\06\双方向通信\index.html,1723
Resource of Store App for globalization – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,SlideShow,Visual Studio,Windows 8 App,Windows Store App","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%Resource of Store App for globalization%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2013/07/08/）%改行%Store app のリソースとグローバリゼーション%改行%リソースを扱う仕組みは、XAML AppもHTML 5 Appも同じく、リソース～リソースマネージャ～CLRオブジェクト（またはDOM）の操作によって行うので、グローバリゼーションを考慮した作りにしておくと有用です。%改行%一方、業務ロジックに依存した視覚制御は、コードビハインドでなく、View ModelやControllerといった業務ロジック制御部分にて行うことでひとつの処理でソースコードを行き来することなく可読性、保守性の良いプログラムを作成できます。%改行%そのため、バインド + 通知によって視覚を変更することで、グローバリゼーションに対応したリソースの転送フローを設計することができます。%改行%詳細な解説を行っておりますので、リンク先の資料を参照してください。%改行%リンク（http://1drv.ms/1mX9x59）%改行%Categories:%改行%リンク（https://blog.processtune.com/category/slide-show/）リンク（https://blog.processtune.com/category/winui/universal-apps/windows-store-app/windows-8-app/）リンク（https://blog.processtune.com/category/winui/universal-apps/windows-store-app/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2013/07/01/windows-azure-mobile-service-authentication/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2013/08/26/wpf-app-that-display-excel-file-2/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2013/07/08/resource-of-store-app-for-globalization/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2013/07/08/resource-of-store-app-for-globalization/index.html,E:\repos\Processtune-web\www\2013\07\08\resource-of-store-app-for-globalization\index.html,2104
Integrating OWA( Office Web App) to business solution. – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,Office Business App,Office Web App,SlideShow,Visual Studio","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%Integrating OWA( Office Web App) to business solution.%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2013/01/26/）%改行%OWA is provide few features. But there is standerd way to connect office app and web system. Therefore OWA integrating a data and a business logic of solution existing to Office.%改行%リンク（http://processtuneblog.azurewebsites.net/wp-content/uploads/2013/01/OWAHokuriku.zip）%改行%Categories:%改行%リンク（https://blog.processtune.com/category/office-app/office-business-app/）リンク（https://blog.processtune.com/category/office-app/office-web-app/）リンク（https://blog.processtune.com/category/slide-show/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2012/12/07/webview-control-is-display-on-top-layer%ef%bc%88webview-%e3%82%b3%e3%83%b3%e3%83%88%e3%83%ad%e3%83%bc%e3%83%ab%e3%81%8c%e6%9c%80%e5%89%8d%e9%9d%a2%e3%81%a7%e5%86%8d%e7%94%9f%e3%81%95%e3%82%8c%e3%82%8b/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2013/03/30/play-to-scenarios-make-multi-device-technology-simplify/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2013/01/26/integrating-owa-office-web-app-to-business-solution/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2013/01/26/integrating-owa-office-web-app-to-business-solution/index.html,E:\repos\Processtune-web\www\2013\01\26\integrating-owa-office-web-app-to-business-solution\index.html,2144
Tips for using Service Fabric SDK #2 – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,SlideShow,Visual Studio,未分類","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%Tips for using Service Fabric SDK #2%改行%図（https://blog.processtune.com/wp-content/uploads/2023/03/DistributedComputingSeriesTitle.png）%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2017/03/10/）%改行%・If you encountered to the error that Visual Studio can’t open service fabric project.%改行%The error logged this message ‘The specified default content type (Default) is not defined in the project item schema’. This error occured when the Service Fabric SDK 2.4.164 with Visual Studio 2015. I recommend use Visual Studio 2017 withリンク（https://docs.microsoft.com/en-us/azure/service-fabric/service-fabric-get-started）. The reason is that in present time we have not chance to get old version Service Fabric SDK.%改行%図（https://blog.processtune.com/wp-content/uploads/2017/03/DefaultContentTypeError.png）%改行%Categories:%改行%リンク（https://blog.processtune.com/category/microservice/）リンク（https://blog.processtune.com/category/microsoft-azure/）リンク（https://blog.processtune.com/category/slide-show/）リンク（https://blog.processtune.com/category/%e6%9c%aa%e5%88%86%e9%a1%9e/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/03/01/tips-for-using-service-fabric-sdk/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/03/13/invoke-reliable-actor-from-stateless-web-api/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2017/03/10/tips-for-using-service-fabric-sdk-2/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2017/03/10/tips-for-using-service-fabric-sdk-2/index.html,E:\repos\Processtune-web\www\2017\03\10\tips-for-using-service-fabric-sdk-2\index.html,2401
Bitmap image – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,SlideShow,Universal Apps,Visual Studio,Windows 10 App,Windows Store App,未分類","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%Bitmap image%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2017/09/06/）%改行%This article explain how to set image to the Image control of XAML. The Source property of the Image control accept the BitmapImage type data, so if it needs set from view model, data context of the page have to defined the BitmapImage type property and set instance of the BitmapImage object on it.%改行%図（https://blog.processtune.com/wp-content/uploads/2018/03/BitmapImageXAML.png）%改行%リンク（https://github.com/TetsuroTakao/Samples-UWPSamples/tree/master/BitmapImage）%改行%リンク（https://www.microsoft.com/ja-jp/dev/products/community.aspx）is free%改行%・View model%改行%The BitmapImage object of the BitmapImage type property named PhotoImage is instanced at constructor of the ViewModel. The source property of the BitmapImage create using a name of identity providers, so the Assets folder needs include images of same name which is created.%改行%図（https://blog.processtune.com/wp-content/uploads/2018/03/BitmapImageVM.png）%改行%・xaml%改行%・View model%改行%Categories:%改行%リンク（https://blog.processtune.com/category/slide-show/）リンク（https://blog.processtune.com/category/winui/universal-apps/）リンク（https://blog.processtune.com/category/winui/universal-apps/windows-store-app/windows-10-app/）リンク（https://blog.processtune.com/category/winui/universal-apps/windows-store-app/）リンク（https://blog.processtune.com/category/%e6%9c%aa%e5%88%86%e9%a1%9e/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/08/29/oauth-login/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/09/13/control-facebook-scope/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2017/09/06/bitmap-image/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2017/09/06/bitmap-image/index.html,E:\repos\Processtune-web\www\2017\09\06\bitmap-image\index.html,2677
"The microservices basis, Provide it from Microsoft Azure Service Fabric – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,SlideShow,Visual Studio,未分類","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%The microservices basis, Provide it from Microsoft Azure Service Fabric%改行%図（https://blog.processtune.com/wp-content/uploads/2023/03/DistributedComputingSeriesTitle.png）%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2017/03/13/）%改行%・The microservices basis, Provide it from Microsoft Azure Service Fabric%改行%The agile development process is popularly adapted for software development. And the microservice design pattern is fit for the agile development process.%改行%This article describes concept of the microservice which has an aspect of the distributed system, and procedures of implement by concept of the actor model which reduces cost of developing it.%改行%リンク（https://blog.processtune.com/?p=2051）%改行%リンク（https://blog.processtune.com/?p=2101）%改行%リンク（https://blog.processtune.com/?p=2161）%改行%リンク（https://blog.processtune.com/?p=2541）%改行%リンク（https://blog.processtune.com/?p=2621）%改行%リンク（https://blog.processtune.com/?p=2791）%改行%リンク（https://blog.processtune.com/?p=3001）%改行%リンク（https://blog.processtune.com/?p=3381）%改行%リンク（）%改行%リンク（）%改行%リンク（https://blog.processtune.com/?p=3191）%改行%リンク（https://blog.processtune.com/?p=3301）%改行%Categories:%改行%リンク（https://blog.processtune.com/category/microservice/）リンク（https://blog.processtune.com/category/microsoft-azure/）リンク（https://blog.processtune.com/category/slide-show/）リンク（https://blog.processtune.com/category/%e6%9c%aa%e5%88%86%e9%a1%9e/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/03/13/invoke-reliable-actor-from-stateless-web-api/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/05/06/vsalm1%ef%bc%9a%e8%a3%bd%e5%93%81%e6%88%a6%e7%95%a5%e3%81%a8%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e6%a7%8b%e7%af%89/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2017/03/13/the-microservices-basis-provide-it-from-microsoft-azure-service-fabric/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2017/03/13/the-microservices-basis-provide-it-from-microsoft-azure-service-fabric/index.html,E:\repos\Processtune-web\www\2017\03\13\the-microservices-basis-provide-it-from-microsoft-azure-service-fabric\index.html,2848
Tips for using Service Fabric SDK #1 – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,SlideShow,Visual Studio,未分類","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%Tips for using Service Fabric SDK #1%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2017/03/01/）%改行%・If you encountered to error of FabActUtil.exe using the Service Fabric SDK%改行%In case that when the MS Build intends to build service fabric actors using FabActUtil.exe with target file, and the error occurred that FabActUtil.exe exited with code -1. The error can be fixed by changing the target file. Most simple approach is using the target file of old version of the Service Fabric SDK. If your solution run normal so far, I think you have some versions of Microsoft.ServiceFabric.Actors package in the packages folder of your solution’s root.%改行%図（https://blog.processtune.com/wp-content/uploads/2017/03/01FabActUtilExeError.png）図（https://blog.processtune.com/wp-content/uploads/2017/03/02packagesfolder.png）%改行%If you don’t have any package running normal, useリンク（https://www.nuget.org/packages/Microsoft.ServiceFabric.Actors/）. This file has differences with the file which error occurs, at the points of bellow.%改行%図（https://blog.processtune.com/wp-content/uploads/2017/03/03DifferenceTargetsFiles.png）%改行%The target file is pleased at%solution root%\packages\Microsoft.ServiceFabric.Actors.%version%\build\Microsoft.ServiceFabric.Actors.targetsand independent with version number.%改行%Categories:%改行%リンク（https://blog.processtune.com/category/microservice/）リンク（https://blog.processtune.com/category/microsoft-azure/）リンク（https://blog.processtune.com/category/slide-show/）リンク（https://blog.processtune.com/category/%e6%9c%aa%e5%88%86%e9%a1%9e/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/02/12/incorporate-the-realiable-actor-service-to-web-app-solution/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/03/10/tips-for-using-service-fabric-sdk-2/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2017/03/01/tips-for-using-service-fabric-sdk/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2017/03/01/tips-for-using-service-fabric-sdk/index.html,E:\repos\Processtune-web\www\2017\03\01\tips-for-using-service-fabric-sdk\index.html,2910
Some patterns of state transferring of system – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,SlideShow,Visual Studio,未分類","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%Some patterns of state transferring of system%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2016/05/10/）%改行%・Some patterns of state transferring of system%改行%An information is a cluster of data which connect to other data semantically. There is represented by object models or entities. Normalized data stored at persistent tier is modified at presentation layer to information by user operations. So state management is almost similar with tracing user operations.%改行%One of implement state management is Rich Client Application. There is high function controls –such as the DataGrid control and so on– used in the application. The controls holds state at presentation layer. So in Rich Client Application, data semantically connection is done at presentation layer, then information is transfered to persistent tier directly.%改行%Second selection is the RESTful service client application. The application uses many very short transactions. Data semantically connection is not made one transaction but made by multiple transactions usingREpresentationalStateTransfer API service.%改行%There is several other approaches, the Scaffolding CRUD pages uses the DBcontext for connect user’s operations with persistent tier directly. It is possible to say that a state for create information from data is kept in DBcontext.%改行%図（https://blog.processtune.com/wp-content/uploads/2017/03/StateManagement.png）%改行%Categories:%改行%リンク（https://blog.processtune.com/category/microservice/）リンク（https://blog.processtune.com/category/microsoft-azure/）リンク（https://blog.processtune.com/category/slide-show/）リンク（https://blog.processtune.com/category/%e6%9c%aa%e5%88%86%e9%a1%9e/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2016/04/08/microservice-design-pattern/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2016/07/11/2161/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2016/05/10/some-patterns-of-transferring-state-of-system/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2016/05/10/some-patterns-of-transferring-state-of-system/index.html,E:\repos\Processtune-web\www\2016\05\10\some-patterns-of-transferring-state-of-system\index.html,2967
Hamburger menu – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,SlideShow,Universal Apps,Visual Studio,Windows 10 App,Windows Store App,未分類","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%Hamburger menu%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2017/08/15/）%改行%Hamburger menu is very familiar as menu UI recently as which is used in mobile device and PC.%改行%図（https://blog.processtune.com/wp-content/uploads/2018/03/HamburgerAppOpen.png）図（https://blog.processtune.com/wp-content/uploads/2018/03/HamburgerAppClose.png）%改行%Hamburger menu is the ToggleButton control which uses the FontIcon control with attribute Glyph=”” of Segoe MDL2 Assets font family.%改行%図（https://blog.processtune.com/wp-content/uploads/2018/03/HamburgerMenuXAML.png）%改行%リンク（https://github.com/TetsuroTakao/Samples-UWPSamples/tree/master/Hamburger）%改行%リンク（https://www.microsoft.com/ja-jp/dev/products/community.aspx）is free%改行%・XAML%改行%The ToggleButton control is specified the Style attribute to ‘SymbolButton’ as the xKey.%改行%The xKey define with many style attributes that is visual behavior or involve in animations too.%改行%図（https://blog.processtune.com/wp-content/uploads/2018/03/HamburgerMenuXAMLAnimation.png）%改行%If needs the copy, use the GitHub Gist at end of this article.%改行%・XAML.cs%改行%The process of Hamburger_Click event handler is super easy as one line. It’s a process which toggles open state of the SplitView control.%改行%図（https://blog.processtune.com/wp-content/uploads/2018/03/HamburgerMenuXAML.cs_.png）%改行%・MainPage.xaml%改行%・MainPage.xaml.cs%改行%Categories:%改行%リンク（https://blog.processtune.com/category/slide-show/）リンク（https://blog.processtune.com/category/winui/universal-apps/）リンク（https://blog.processtune.com/category/winui/universal-apps/windows-store-app/windows-10-app/）リンク（https://blog.processtune.com/category/winui/universal-apps/windows-store-app/）リンク（https://blog.processtune.com/category/%e6%9c%aa%e5%88%86%e9%a1%9e/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/08/08/split-view/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2017/08/22/flipview/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2017/08/15/hamburger-menu/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2017/08/15/hamburger-menu/index.html,E:\repos\Processtune-web\www\2017\08\15\hamburger-menu\index.html,3004
The microservice design pattern – Processtune Blog,"Azure Active Directory,Microservice,Microsoft Azure,SlideShow,Visual Studio,未分類","%改行%リンク（#content）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%リンク（#）%改行%リンク（https://blog.processtune.com/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/）%改行%リンク（https://blog.processtune.com/category/microsoft-azure/azure-active-directory/）%改行%リンク（https://blog.processtune.com/category/visual-studio/）%改行%リンク（https://blog.processtune.com/category/microservice/）%改行%The microservice design pattern%改行%byリンク（https://blog.processtune.com/author/tetsuro-takao/）%改行%onリンク（https://blog.processtune.com/2016/04/08/）%改行%・The microservice design pattern%改行%The microservice design pattern is fit to the agile development process and the Microsoft Azure provides it’s runtime environment as the Microsoft Azure Service Fabric. The architecture is considering partition tolerance same as a distributed system. This article describes microservices, one of a distributed system, is not manages state at persistent tier but at middleware tier.%改行%If you want to read detail of state machine or state management, please refer toリンク（https://blog.processtune.com/?p=2101）.%改行%When system is used by few users, the system shares state at persistent tier is not prompting problem, but a lot of users access system, state of information will conflict and many optimistic lock occurs. As generally, design a processing break down, or short transaction mixing, because a grand design of persistent tier takes large cost.%改行%The microservice desing pattern is one of the design pattern for it. Therefore microservices communicate each other and have each persistent tiers respectively. It is important for designing microservice that is distributed system.%改行%So, state transferring of common N-tier system from state full UI-tier to state less function tier is designed in microservice design pattern to state management at state full middle ware.%改行%図（https://blog.processtune.com/wp-content/uploads/2017/03/statefullmiddleware.png）%改行%Categories:%改行%リンク（https://blog.processtune.com/category/microservice/）リンク（https://blog.processtune.com/category/microsoft-azure/）リンク（https://blog.processtune.com/category/slide-show/）リンク（https://blog.processtune.com/category/%e6%9c%aa%e5%88%86%e9%a1%9e/）%改行%Tags:%改行%No Tag%改行%Post navigation%改行%リンク（https://blog.processtune.com/2015/05/23/mvvm-creating-reusable-flyout-control-composite/）%改行%Post navigation%改行%リンク（https://blog.processtune.com/2016/05/10/some-patterns-of-transferring-state-of-system/）%改行%No responses yet%改行%Leave a Replyリンク（https://blog.processtune.com/2016/04/08/microservice-design-pattern/#respond）%改行%Your email address will not be published.Required fields are marked*%改行%Comment*%改行%Name*%改行%Email*%改行%Website%改行%Save my name, email, and website in this browser for the next time I comment.%改行%© 2025 Processtune Blog. Created for free using WordPress andリンク（https://colibriwp.com/）",file:///E:/repos/Processtune-web/www/2016/04/08/microservice-design-pattern/index.html,E:\repos\Processtune-web\www\2016\04\08\microservice-design-pattern\index.html,3106
